Method Name,Game,Type,Effected By Shiny Charm,Automatically Applied,Chance of Being Applied,Chain/Encounter/etc Required,Odds,Odds (Percent),Odds (1/x),Shiny Charm Odds,Shiny Charm Odds (Percent),Shiny Charm Odds (1/x),Description,Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poke Radar,Pearl,Chain Length,No,Yes,1,33,0.000625591,0.0625591,1598,0.000625591,0.0625591,1598,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,33,0.000625591,0.0625591,1598,0.000625591,0.0625591,1598,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,34,0.000717141,0.0717141,1394,0.000717141,0.0717141,1394,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,34,0.000717141,0.0717141,1394,0.000717141,0.0717141,1394,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,34,0.000717141,0.0717141,1394,0.000717141,0.0717141,1394,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,35,0.000839208,0.0839208,1192,0.000839208,0.0839208,1192,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,35,0.000839208,0.0839208,1192,0.000839208,0.0839208,1192,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,35,0.000839208,0.0839208,1192,0.000839208,0.0839208,1192,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,36,0.001007049,0.1007049,993,0.001007049,0.1007049,993,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,36,0.001007049,0.1007049,993,0.001007049,0.1007049,993,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,36,0.001007049,0.1007049,993,0.001007049,0.1007049,993,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,37,0.001251183,0.1251183,799,0.001251183,0.1251183,799,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,37,0.001251183,0.1251183,799,0.001251183,0.1251183,799,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,37,0.001251183,0.1251183,799,0.001251183,0.1251183,799,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,38,0.001678416,0.1678416,596,0.001678416,0.1678416,596,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,38,0.001678416,0.1678416,596,0.001678416,0.1678416,596,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,38,0.001678416,0.1678416,596,0.001678416,0.1678416,596,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,39,0.002502365,0.2502365,400,0.002502365,0.2502365,400,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,39,0.002502365,0.2502365,400,0.002502365,0.2502365,400,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,39,0.002502365,0.2502365,400,0.002502365,0.2502365,400,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,40,0.00500473,0.500473,200,0.00500473,0.500473,200,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,40,0.00500473,0.500473,200,0.00500473,0.500473,200,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,40,0.00500473,0.500473,200,0.00500473,0.500473,200,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Cute Charm Glitch,Diamond,Glitch,No,Yes,1,1,0.2,20,5,0.2,20,5,Requires random number generation (RNG) manipulation.  Starting the game at a particular frame on a particular date will result in your Trainer ID and Secret ID causing shiny Pokemon of a particular gender to be shiny when the Pokemon has one of five natures.  By using a Pokemon with the Ability Cute Charm@ you increase your odds of finding the right gendered Pokemon and also force the Pokemon's personality value into either the desired range for your natures@ or one of the other groups.,All Multi-Gendered Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cute Charm Glitch,Pearl,Glitch,No,Yes,1,1,0.2,20,5,0.2,20,5,Requires random number generation (RNG) manipulation.  Starting the game at a particular frame on a particular date will result in your Trainer ID and Secret ID causing shiny Pokemon of a particular gender to be shiny when the Pokemon has one of five natures.  By using a Pokemon with the Ability Cute Charm@ you increase your odds of finding the right gendered Pokemon and also force the Pokemon's personality value into either the desired range for your natures@ or one of the other groups.,All Multi-Gendered Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cute Charm Glitch,Platinum,Glitch,No,Yes,1,1,0.2,20,5,0.2,20,5,Requires random number generation (RNG) manipulation.  Starting the game at a particular frame on a particular date will result in your Trainer ID and Secret ID causing shiny Pokemon of a particular gender to be shiny when the Pokemon has one of five natures.  By using a Pokemon with the Ability Cute Charm@ you increase your odds of finding the right gendered Pokemon and also force the Pokemon's personality value into either the desired range for your natures@ or one of the other groups.,All Multi-Gendered Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cute Charm Glitch,Heart Gold,Glitch,No,Yes,1,1,0.2,20,5,0.2,20,5,Requires random number generation (RNG) manipulation.  Starting the game at a particular frame on a particular date will result in your Trainer ID and Secret ID causing shiny Pokemon of a particular gender to be shiny when the Pokemon has one of five natures.  By using a Pokemon with the Ability Cute Charm@ you increase your odds of finding the right gendered Pokemon and also force the Pokemon's personality value into either the desired range for your natures@ or one of the other groups.,All Multi-Gendered Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cute Charm Glitch,Soul Silver,Glitch,No,Yes,1,1,0.2,20,5,0.2,20,5,Requires random number generation (RNG) manipulation.  Starting the game at a particular frame on a particular date will result in your Trainer ID and Secret ID causing shiny Pokemon of a particular gender to be shiny when the Pokemon has one of five natures.  By using a Pokemon with the Ability Cute Charm@ you increase your odds of finding the right gendered Pokemon and also force the Pokemon's personality value into either the desired range for your natures@ or one of the other groups.,All Multi-Gendered Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Odds,Black,Encounter,No,Yes,1,1,0.00012207,0.012207,8192,0.00012207,0.012207,8192,Randomly encountering wild Pokemon can result in a Pokemon being shiny.,All Available Except Box Legendaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Odds,White,Encounter,No,Yes,1,1,0.00012207,0.012207,8192,0.00012207,0.012207,8192,Randomly encountering wild Pokemon can result in a Pokemon being shiny.,All Available Except Box Legendaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Odds,Black 2,Encounter,Yes,Yes,1,1,0.00012207,0.012207,8192,0.000366211,0.0366211,2731,Randomly encountering wild Pokemon can result in a Pokemon being shiny.,All Available Except Box Legendaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Odds,White 2,Encounter,Yes,Yes,1,1,0.00012207,0.012207,8192,0.00036621,0.036621,2731,Randomly encountering wild Pokemon can result in a Pokemon being shiny.,All Available Except Box Legendaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masuda Method,Black,Breeding,No,Yes,1,1,0.000732422,0.0732422,1365,0.000732422,0.0732422,1365,Breed Pokemon from two different real world regions (i.e. a Japanese Ditto and a USA Pikachu).,All Breedable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masuda Method,White,Breeding,No,Yes,1,1,0.000732422,0.0732422,1365,0.000732422,0.0732422,1365,Breed Pokemon from two different real world regions (i.e. a Japanese Ditto and a USA Pikachu).,All Breedable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masuda Method,Black 2,Breeding,Yes,Yes,1,1,0.000732422,0.0732422,1365,0.000976563,0.0976563,1024,Breed Pokemon from two different real world regions (i.e. a Japanese Ditto and a USA Pikachu).,All Breedable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masuda Method,White 2,Breeding,Yes,Yes,1,1,0.000732422,0.0732422,1365,0.000976563,0.0976563,1024,Breed Pokemon from two different real world regions (i.e. a Japanese Ditto and a USA Pikachu).,All Breedable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiny Haxerus Encounter,Black 2,Encounter,No,Yes,1,1,1,100,1,1,100,1,"After completing the National PokeDex, talk to the professor to get a plane ticket to the Nature Reserve, here you will find a shiny Haxerous in the overworld",Haxerus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiny Haxerus Encounter,White 2,Encounter,No,Yes,1,1,1,100,1,1,100,1,"After completing the National PokeDex, talk to the professor to get a plane ticket to the Nature Reserve, here you will find a shiny Haxerous in the overworld",Haxerus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiny Gible Gift,Black 2,Gift,No,Yes,1,1,1,100,1,1,100,1,"After beating level 10 of Black Tower, battle and defeat the Champion's Son, he will gift you a shiny Gible",Gible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiny Dratini Gift,White 2,Gift,No,Yes,1,1,1,100,1,1,100,1,"After beating level 10 of White Tree, battle and defeat the Champion's Son, he will gift you a shiny Dratini",Dratini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Odds,X,Encounter,Yes,Yes,1,1,0.000244141,0.0244141,4096,0.000732423,0.0732423,1365,Randomly encountering wild Pokemon can result in a Pokemon being shiny.,All Available Except Box Legendaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Odds,Y,Encounter,Yes,Yes,1,1,0.000244141,0.0244141,4096,0.000732423,0.0732423,1365,Randomly encountering wild Pokemon can result in a Pokemon being shiny.,All Available Except Box Legendaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Odds,Omega Ruby,Encounter,Yes,Yes,1,1,0.000244141,0.0244141,4096,0.000732423,0.0732423,1365,Randomly encountering wild Pokemon can result in a Pokemon being shiny.,All Available Except Box Rayquaza and Deoxys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Odds,Alpha Sapphire,Encounter,Yes,Yes,1,1,0.000244141,0.0244141,4096,0.000732423,0.0732423,1365,Randomly encountering wild Pokemon can result in a Pokemon being shiny.,All Available Except Box Rayquaza and Deoxys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masuda Method,X,Breeding,Yes,Yes,1,1,0.001464844,0.1464844,683,0.001953125,0.1953125,512,Breed Pokemon from two different real world regions (i.e. a Japanese Ditto and a USA Pikachu).,All Breedable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masuda Method,Y,Breeding,Yes,Yes,1,1,0.001464129,0.1464129,683,0.001953125,0.1953125,512,Breed Pokemon from two different real world regions (i.e. a Japanese Ditto and a USA Pikachu).,All Breedable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masuda Method,Omega Ruby,Breeding,Yes,Yes,1,1,0.001464129,0.1464129,683,0.001953125,0.1953125,512,Breed Pokemon from two different real world regions (i.e. a Japanese Ditto and a USA Pikachu).,All Breedable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masuda Method,Alpha Sapphire,Breeding,Yes,Yes,1,1,0.001464129,0.1464129,683,0.001953125,0.1953125,512,Breed Pokemon from two different real world regions (i.e. a Japanese Ditto and a USA Pikachu).,All Breedable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poke Radar,X,Chain Length,Yes,Yes,1,-1,Various,Various,Various,Various,Various,Various,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",All Encounterable Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poke Radar,Y,Chain Length,Yes,Yes,1,-1,Various,Various,Various,Various,Various,Various,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",All Encounterable Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poke Radar,X,Chain Length,Yes,Yes,1,0,0.000244141,0.0244141,4096,0.000305176,0.0305176,3277,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",All Encounterable Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poke Radar,Y,Chain Length,Yes,Yes,1,0,0.000244141,0.0244141,4096,0.000305176,0.0305176,3277,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",All Encounterable Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poke Radar,X,Chain Length,Yes,Yes,1,1,0.00027465,0.027465,3641,0.000335693,0.0335693,2979,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",All Encounterable Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poke Radar,Y,Chain Length,Yes,Yes,1,1,0.00027465,0.027465,3641,0.000335693,0.0335693,2979,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",All Encounterable Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poke Radar,X,Chain Length,Yes,Yes,1,5,0.000305158,0.0305158,3277,0.000366211,0.0366211,2731,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",All Encounterable Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poke Radar,Y,Chain Length,Yes,Yes,1,5,0.000305158,0.0305158,3277,0.000366211,0.0366211,2731,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",All Encounterable Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poke Radar,X,Chain Length,Yes,Yes,1,9,0.000335684,0.0335684,2979,0.000396729,0.0396729,2521,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",All Encounterable Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poke Radar,Y,Chain Length,Yes,Yes,1,9,0.000335684,0.0335684,2979,0.000396729,0.0396729,2521,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",All Encounterable Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poke Radar,X,Chain Length,Yes,Yes,1,12,0.000366234,0.0366234,2730,0.000427246,0.0427246,2341,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",All Encounterable Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poke Radar,Y,Chain Length,Yes,Yes,1,12,0.000366234,0.0366234,2730,0.000427246,0.0427246,2341,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",All Encounterable Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poke Radar,X,Chain Length,Yes,Yes,1,14,0.000396746,0.0396746,2521,0.000457764,0.0457764,2185,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",All Encounterable Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poke Radar,Y,Chain Length,Yes,Yes,1,14,0.000396746,0.0396746,2521,0.000457764,0.0457764,2185,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",All Encounterable Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poke Radar,X,Chain Length,Yes,Yes,1,16,0.00042726,0.042726,2340,0.000488281,0.0488281,2048,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",All Encounterable Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poke Radar,Y,Chain Length,Yes,Yes,1,16,0.00042726,0.042726,2340,0.000488281,0.0488281,2048,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",All Encounterable Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poke Radar,X,Chain Length,Yes,Yes,1,18,0.00045777,0.045777,2185,0.000518799,0.0518799,1928,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",All Encounterable Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
